"id","zip_code","city","id_county"
"1","8128","Aba","7"
"2","8127","Aba","7"
"3","5241","Abádszalók","11"
"4","7678","Abaliget","2"
"5","3261","Abasár","10"
"6","3882","Abaújalpár","4"
"7","3882","Abaújkér","4"
"8","3815","Abaújlak","4"
"9","3881","Abaújszántó","4"
"10","3809","Abaújszolnok","4"
"11","3898","Abaújvár","4"
"12","9151","Abda","8"
"13","3753","Abod","4"
"14","2740","Abony","14"
"15","8256","Ábrahámhegy","19"
"16","2941","Ács","12"
"17","2683","Acsa","14"
"18","9746","Acsád","18"
"19","9168","Acsalag","8"
"20","2887","Ácsteszér","12"
"21","3292","Adács","10"
"22","8653","Ádánd","15"
"23","8561","Adásztevel","19"
"24","2457","Adony","7"
"25","8497","Adorjánháza","19"
"26","7841","Adorjás","2"
"27","7381","Ág","2"
"28","6076","Ágasegyháza","1"
"29","9423","Ágfalva","8"
"30","3759","Aggtelek","4"
"31","9441","Agyagosszergény","8"
"32","4524","Ajak","16"
"33","8447","Ajka","19"
"34","8448","Ajka","19"
"35","8451","Ajka","19"
"36","8400","Ajka","19"
"37","2862","Aka","12"
"38","6221","Akasztó","1"
"39","3779","Alacska","4"
"40","7011","Alap","7"
"41","5142","Alattyán","11"
"42","2730","Albertirsa","14"
"43","8087","Alcsútdoboz","7"
"44","3353","Aldebrő","10"
"45","6750","Algyő","6"
"46","8921","Alibánfa","20"
"47","7934","Almamellék","2"
"48","2931","Almásfüzitő","12"
"49","8935","Almásháza","20"
"50","5747","Almáskamarás","3"
"51","7932","Almáskeresztúr","2"
"52","4285","Álmosd","9"
"53","3985","Alsóberecki","4"
"54","7443","Alsóbogát","15"
"55","3717","Alsódobsza","4"
"56","3837","Alsógagy","4"
"57","7345","Alsómocsolád","2"
"58","7147","Alsónána","17"
"59","2351","Alsónémedi","14"
"60","8924","Alsónemesapáti","20"
"61","7148","Alsónyék","17"
"62","8226","Alsóörs","19"
"63","8394","Alsópáhok","20"
"64","2617","Alsópetény","13"
"65","8767","Alsórajk","20"
"66","3989","Alsóregmec","4"
"67","8973","Alsószenterzsébet","20"
"68","7012","Alsószentiván","7"
"69","7826","Alsószentmárton","2"
"70","9983","Alsószölnök","18"
"71","3726","Alsószuha","4"
"72","3735","Alsótelekes","4"
"73","3069","Alsótold","13"
"74","9842","Alsóújlak","18"
"75","3811","Alsóvadász","4"
"76","3571","Alsózsolca","4"
"77","6916","Ambrózfalva","6"
"78","4546","Anarcs","16"
"79","8675","Andocs","15"
"80","3399","Andornaktálya","10"
"81","9811","Andrásfa","18"
"82","2529","Annavölgy","12"
"83","8477","Apácatorna","19"
"84","4553","Apagy","16"
"85","2345","Apaj","14"
"86","7186","Aparhant","17"
"87","6931","Apátfalva","6"
"88","9982","Apátistvánfalva","18"
"89","7720","Apátvarasd","2"
"90","3032","Apc","10"
"91","2338","Áporka","14"
"92","6088","Apostag","1"
"93","4634","Aranyosapáti","16"
"94","7671","Aranyosgadány","2"
"95","3885","Arka","4"
"96","3663","Arló","4"
"97","3713","Arnót","4"
"98","3467","Ároktő","4"
"99","6623","Árpádhalom","6"
"100","9132","Árpás","8"
"101","4115","Ártánd","9"
"102","6783","Ásotthalom","6"
"103","9177","Ásványráró","8"
"104","3841","Aszaló","4"
"105","2170","Aszód","14"
"106","8241","Aszófő","19"
"107","7763","Áta","2"
"108","3371","Átány","10"
"109","3213","Atkár","10"
"110","7252","Attala","17"
"111","7757","Babarc","2"
"112","7814","Babarcszőlős","2"
"113","7584","Babócsa","15"
"114","2943","Bábolna","12"
"115","8658","Bábonymegyer","15"
"116","8983","Babosdöbréte","20"
"117","9351","Babót","8"
"118","6430","Bácsalmás","1"
"119","6453","Bácsbokod","1"
"120","6454","Bácsborsód","1"
"121","6511","Bácsszentgyörgy","1"
"122","6425","Bácsszőlős","1"
"123","8261","Badacsonytomaj","19"
"124","8257","Badacsonytomaj","19"
"125","8258","Badacsonytomaj","19"
"126","8262","Badacsonytördemic","19"
"127","8263","Badacsonytördemic","19"
"128","2191","Bag","14"
"129","4286","Bagamér","9"
"130","8977","Baglad","20"
"131","8992","Bagod","20"
"132","9145","Bágyogszovát","8"
"133","2836","Baj","12"
"134","6503","Baja","1"
"135","6500","Baja","1"
"136","9944","Bajánsenye","18"
